saved_force_x,saved_force_y,saved_force_z,time,true_force_x,true_force_y,true_force_z,force_x,force_y,force_z,velocity_x,velocity_y,velocity_z
0.9236509203910828,0.1510830968618393,-2.1849365234375,1745513999.4543204,1.013759932533628,0.1070549613784639,-2.1800743907500464,0.9835870976810855,0.06954628335181423,-2.1874814292183955,-0.0011168360343418613,0.0012110667736388793,-0.0018161579074923578
0.9299717545509338,0.1600351631641388,-2.1886894702911377,1745513999.5335765,1.008995336456667,0.09786782399525164,-2.1665089587766446,0.985354138820128,0.0751512871518331,-2.1786298867651266,0.0013851494205997822,0.0028537596903315406,0.0020945279376314947
0.9377830624580383,0.16178575158119202,-2.196643114089966,1745513999.603343,0.9902155788793633,0.11458126034862356,-2.1719189097890865,0.9512116400377228,0.1539910833534464,-2.18531864493606,-1.1408657348671817e-06,0.00035436680109763154,-0.0015622390379516674
0.9098622798919678,0.12718376517295837,-2.2032580375671387,1745513999.6822531,0.9879041757727903,0.10965093052712611,-2.1748148921888975,0.978870882408916,0.1452357309263713,-2.1862251023248525,0.0005175885811319287,0.002725925357378782,0.0012036107771566653
0.912588357925415,0.14451131224632263,-2.1982829570770264,1745513999.7531953,0.9973387029540397,0.1082045146100068,-2.1727222816191563,0.9656763737212253,0.06333431185464063,-2.1768860152880434,0.00032469693908944967,-5.203356233807007e-06,0.001797003274673279
0.924147367477417,0.11845523864030838,-2.1865248680114746,1745513999.8339589,0.993645138845015,0.11561075787327971,-2.1754228457602958,0.9690218437338656,0.12500443216059592,-2.1961798898202067,0.0015824602675921107,-0.0038380181661836947,0.002961428129930406
0.9386784434318542,0.1672496497631073,-2.1841976642608643,1745513999.8507187,0.9887204798227852,0.11748949273074295,-2.179574254572278,1.0365514835056444,0.06897166853857663,-2.238132794567698,0.0002879413085995477,0.002304214682409701,-0.0008380949385242635
0.9142450094223022,0.15883544087409973,-2.1959829330444336,1745513999.9001708,0.9982866805593571,0.10778592789230969,-2.1912859625713623,0.99542696905801,0.10161750120675385,-2.140045965944349,0.0019172479616586648,-0.0018027514505308921,0.002562144451172806
0.9236572980880737,0.154734268784523,-2.1900601387023926,1745513999.9391894,0.9977147382590876,0.10655224255519852,-2.1810379632459598,0.9640426944145437,0.10657252963038986,-2.1845466916548926,-0.0010097383886554332,-0.0019729261237842787,-0.0002442245483737121
0.9392582774162292,0.14194351434707642,-2.1941611766815186,1745513999.9519536,0.9909803294901789,0.1065562999702368,-2.181739708927746,0.9714270026377709,0.11672442441622882,-2.2027307282512427,0.00018496870145725454,-0.001142761017544801,-0.0008332288707071068
0.9377453923225403,0.15327392518520355,-2.1987595558166504,1745514000.0175357,0.9870696641196973,0.10858992485943521,-2.1859379127924456,0.9693036264221361,0.0811251227538744,-2.135223649219119,-0.0006675490043134408,0.0007162842901752024,-0.0006104606889013591
0.9359769821166992,0.16679435968399048,-2.193580150604248,1745514000.0836236,0.9822904118375424,0.11113847630509699,-2.186308575942215,1.0061572632230196,0.011085314148335015,-2.1226649446369623,-0.0019400880168608107,-0.004874592379809495,-0.0026963471649842988
0.9101200103759766,0.14201660454273224,-2.1916229724884033,1745514000.1674812,0.987063782114638,0.0911278438737446,-2.1735798496811647,0.924507003713407,0.17916921445189504,-2.26080382174917,-5.5245960160161065e-05,0.004020827599655516,-3.909883505022751e-05
0.9481037259101868,0.15961505472660065,-2.1937458515167236,1745514000.1878994,0.9790360613251881,0.09895896550759868,-2.184808906396622,0.953470731730792,0.16266686801961866,-2.2729153214647946,0.0013099914394768216,-0.0030798094585957267,0.002010630676074882
0.9367964863777161,0.16011451184749603,-2.1811633110046387,1745514000.1979058,0.9681302498028319,0.11500101529645797,-2.2000078894671318,0.953470731730792,0.16266686801961866,-2.2729153214647946,-0.000681875895764168,0.000871463420749537,-0.0006373142648771982
0.9262544512748718,0.15419533848762512,-2.1955413818359375,1745514000.2123127,0.965198346188424,0.12453418584109012,-2.214589375866664,0.953470731730792,0.16266686801961866,-2.2729153214647946,-0.00010619736975136615,0.0012443685124663287,-0.0014285996285925684
0.9254128932952881,0.1548994779586792,-2.2036688327789307,1745514000.273798,0.9699449045900075,0.11017885219818489,-2.200669038821785,1.0459237027904098,0.0016231439576972042,-2.0855986924398215,-0.0015816937727868054,-0.002994742376621722,-0.0024607621601108404
0.9193522930145264,0.16054944694042206,-2.201657772064209,1745514000.2845192,0.9851406642300881,0.08846771055008736,-2.1776549695453924,1.0459237027904098,0.0016231439576972042,-2.0855986924398215,-0.00037424882156693643,-0.002970496164953674,-0.00032436729783085914
0.9325712323188782,0.16470712423324585,-2.1981327533721924,1745514000.3347292,0.9900222155118592,0.08411725067421758,-2.173470511337709,0.9945614911376316,0.11222279957341771,-2.1781845050797375,-0.001430278980837086,0.001169366847215078,-0.0035602533292215417
0.9578397274017334,0.1583324372768402,-2.2144875526428223,1745514000.3502545,0.9909300706370138,0.0897383604540576,-2.174413310086115,0.9945614911376316,0.11222279957341771,-2.1781845050797375,0.0009695477956354398,-0.0010463453211821835,0.0009261167003516664
0.9079251289367676,0.1463155597448349,-2.2068731784820557,1745514000.43322,0.9944098132707722,0.09156289374676475,-2.17702685439536,0.9861513329619384,0.14513744616475577,-2.1451492901975313,-0.0003579162700892377,0.0002927492550417147,0.00037675197830358754
0.8859109878540039,0.11172984540462494,-2.214293956756592,1745514000.4785628,1.001413739476886,0.10038930743820303,-2.180251198059108,0.986181049898925,0.11803763325342172,-2.1394150210419767,-0.0015923622460856158,-0.0013282512986653283,-0.0022440119297224737
